
ŠA

|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD.GAR&GAR|

𒌄

|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).LAGAB.LAGAB|

𒌃𒆸𒆸

|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).U₂|

𒌃𒌑

|ŠE.NUNUZ.GABA.LIŠ|

𒊺𒉭𒃮𒇺

|ŠE.PAP.PAP|

𒊺𒉽𒉽

|ŠE.SIK₂|

𒊺𒋠

|ŠE.SUHUR|

𒓣

|ŠE.ŠE.KIN|

𒊺𒊺𒆥

|ŠE.ŠE.NUN&NUN|

𒊺𒌁

|ŠE.ŠEŠ|

𒊺𒋀

|ŠE.UR₄|

𒊺𒌴

|ŠE+KIN|

𒊺𒆥

|ŠE+KU|

𒊺𒆪

|ŠE+SAR.HI.ZU&ZU|

𒊺𒊬𒄭X

|ŠE×DIŠ|

|ŠE&ŠE|

𒔲

|ŠE&ŠE.GAD&GAD.GAR&GAR|

𒊼

|ŠE&ŠE.GAR&GAR|

𒔲X

|(ŠE&ŠE).HUB₂|

𒔳

|(ŠE&ŠE).KIN|

X𒆥

|ŠE&ŠE.KIN|

𒔲𒆥

|ŠE&ŠE.PA&PA.GAR&GAR|

𒔲XX

|ŠE&ŠE.TAB&TAB.GAR&GAR|

𒊽

|(ŠE%ŠE).KIN|

X𒆥

ŠE@t

ŠEG₉

𒊾

|ŠEG₉.BAR|

𒊾𒁇

ŠEN

𒊿

ŠEŠ

𒋀

|ŠEŠ.AB|

𒋀𒀊

|ŠEŠ.AB@g|

𒋀𒀕

|ŠEŠ.HU.HU|

𒋀𒄷𒄷

|ŠEŠ.IB|

𒋀𒅁

|ŠEŠ.KI|

𒋀𒆠

|ŠEŠ.KI.DIM×ŠE|

𒋀𒆠𒁵

ŠEŠ₂

𒋁

ŠEŠ₂@g

ŠEŠLAM

𒋂

ŠID

𒋃

|ŠID.GAR|

𒋃𒃻

|ŠID.NUN|

𒋃𒉣

|ŠID.RU|

𒋃𒊒

|ŠID×A|

𒋄

|ŠID×AŠ@t|

|ŠID×IM|

𒋅

|ŠID×ZA|

ŠIM

𒋆

|ŠIM.AN.MAŠ|

𒋆𒀭𒈦

|ŠIM.AN.SAL.TUG₂.IB|

𒋆𒀭𒎏𒅁

|ŠIM.BAL|

𒋆𒁄

|ŠIM.GA|

𒋆𒂵

|ŠIM.KU|

𒋆𒆪

|ŠIM×A|

𒋇

|ŠIM×BAL|

𒋈

|ŠIM×BULUG|

𒋉

|ŠIM×DIN|

𒋊

|ŠIM×GAR|

𒋋

|ŠIM×GAR.ŠIM×GAR|

𒋋𒋋

|ŠIM×GIG|

|ŠIM×HI|

|ŠIM×IGI|

𒋌

|ŠIM×IGI@g|

𒋍

|ŠIM×KUŠU₂|

𒋎

|ŠIM×KUŠU₂+KASKAL|

𒋎𒆜

|ŠIM×(LAM.GAR)|

|ŠIM×LUL|

𒋏

|ŠIM×MUG|

𒋐

|ŠIM×PI|

󰁑

|ŠIM×SAL|

𒋑

|ŠIM×ŠE|

|ŠIM×X₁|

|ŠIM×X₂|

󰁞

|ŠIM@g×GAR|

󰁓

|ŠIM@g×KUŠU₂|

󰁔

|ŠIM@g×PI|

󰁕

ŠINIG

𒋒

ŠIR

𒋓

|ŠIR.GI₄|

𒋓𒄄

|ŠIR.LU.SU&ŠIR.LU.SU|

𒋓𒇻X𒇻𒋢

|ŠIR.UD|

𒋓𒌓

ŠITA

𒋖

|ŠITA.AN.MUŠ₃|

𒋖𒀭𒈹

|ŠITA.GIŠ|

𒋖𒄑

|ŠITA.GIŠ.TUG₂|

𒋖𒄑𒌆

|ŠITA×HI|

ŠITA@t

ŠU

𒋗

|ŠU.AN|

𒋗𒀭

|ŠU.BAD|

𒋗𒁁

|ŠU.BI.AŠ.A.AN|

𒋗𒁉𒀸𒀀𒀭

|ŠU.BU|

𒋗𒁍

|ŠU.DI|

𒋗𒁲

|ŠU.DI.U.U.U|

𒋗𒁲𒌍

|ŠU.DIM₂|

𒋗𒁶

|ŠU.DIŠ|

𒋗𒁹

|ŠU.EREN.ME|

𒋗𒂞𒈨

|ŠU.GA|

𒋗𒂵

|ŠU.GAN|

𒋗𒃶

|ŠU.GAN₂@t|

𒋗𒃸

|ŠU.GAR.TUR.LAL|

𒋗𒃻𒌉𒇲

|ŠU.GAR.TUR.LAL.BI|

𒋗𒃻𒌉𒇲𒁉

|ŠU.GI|

𒋗𒄀

|ŠU.GI%GI|

𒋗𒄃

|ŠU.GIR₂@g|

𒋗𒄉

|ŠU.HA|

𒋗𒄩

|ŠU.KAD₄|

𒋗𒆒

|ŠU.KAL|

𒋗𒆗

|ŠU.KUL.UŠ.MAŠ|

𒋗𒆰𒍑𒈦

|ŠU.LAGAB|

𒋗𒆸

|ŠU.LAGAB.NA|

𒋗𒆸𒈾

|ŠU.LU₂|

𒋗𒇽

|ŠU.LUGAL|

𒋗𒈗

|ŠU.LUL|

𒋗𒈜

|ŠU.ME.EREN|

𒋗𒈨𒂞

|ŠU.MIN|

𒋗𒈫

|ŠU.MIN.ME.U.U.U|

𒋗𒈫𒎌

|ŠU.NAGA|

𒋗𒉀

|ŠU.PAP.PAP|

𒋗𒉽𒉽

|ŠU.SI.DI|

𒋗𒋛𒁲

|ŠU.U|

𒋗𒌋

|ŠU&ŠU@180|

𒋘

ŠU@180

ŠU@s

ŠU@t

ŠU₂

𒋙

|ŠU₂.AN|

𒋙𒀭

|ŠU₂.3×AN|

𒋙𒀯

|ŠU₂.AN.HI×GAD|

𒋙𒀭𒄲

|ŠU₂.AŠ₂|

𒋙𒀾

|ŠU₂.BAD|

𒋙𒁁

|ŠU₂.DUG×NI|

𒔶

|ŠU₂.DUN₃|

𒋙𒂅

|ŠU₂.DUN₄|

𒋙𒂈

|ŠU₂.E₂|

𒋙𒂍

|ŠU₂.(E₂×AN)|

𒔷

|ŠU₂.IG|

𒋙𒅅

|ŠU₂.NAGA|

𒋙𒉀

|ŠU₂.NE|

𒋙𒉈

|ŠU₂.SA|

𒋙𒊓

|ŠU₂.ŠE.KU.KAK|

𒋙𒊺𒆪𒆕

|ŠU₂.U.U.U|

𒋙𒌍

|ŠU₂.UR@s|

𒋙𒌪

|ŠU₂.ZI₃|

𒋙𒍥

|ŠU₂×(A.DIŠ)|

ŠUBUR

𒋚

ŠUŠANA

𒑚

